player_id	year	player_name	School	POS	HT	WT	ARM	HAND	40 yd	vert	broad	explosive_score	SPEED	DYNAMIC SPEED
6452	2019	Rashad Fenton	South Carolina	DC	5.91	193	30.38	8.75	4.52	34	9.75	0.741575014	-2.997321851	-4.298307985
6453	2015	Rashad Greene	Florida St.	WR	5.916666667	182			4.53	36.5	10.16666667	0.739107981	-5.026567676	-4.196952034
6454	2001	Rashad Holman	Louisville	DC	5.916666667	186			4.58	42	10.75	0.834380282	-5.529131986	
6455	2009	Rashad Jennings	Liberty	RB	6.083333333	231			4.59	34	10	0.873369863	0.206811681	
6456	2009	Rashad Johnson	Alabama	DS	5.916666667	203			4.49	37	10	0.82343662	-0.805967091	
6457	2023	Rashad Torrence II	Florida	S	5.916666667	193	32	10	4.72	33.5	9.916666667	0.74164554	-7.590539532	
6458	2004	Rashad Washington	Kansas State	DS	6.166666667	223			4.61	34	9.666666667	0.817666667	-1.819097841	
6459	2021	Rashad Weaver	Pitt	EDGE	6.333333333	259	33.5	9.75	4.88	32	9.5	0.889460526	-3.488033359	2.973012973
6460	2019	Rashan Gary	Michigan	EDGE	6.33	277	34.13	9.63	4.58	38	10	1.064823591	5.161590434	1.194118862
6461	2000	Rashard Anderson	Jackson State	DC	6.25	206			4.55	34	10.25	0.767693333	-3.397059251	
6462	1999	Rashard Cook	USC	DS	5.916666667	197			4.77	36	10.16666667	0.794474178	-8.06910909	
6463	2020	Rashard Lawrence	LSU	NT	6.16	308	34.13	11	5.08			0	-0.059090014	-4.213982583
6464	2004	Rashaun Woods	Oklahoma State	WR	6.166666667	202			4.47	39	10.41666667	0.823923423	-1.765686031	
6465	2021	Rashawn Slater	Northwestern	OT	6.333333333	304	33	10.5	4.88	33	9.333333333	1.050666667	2.353129502	1.458363524
6466	2003	Rashean Mathis	Bethune-Cookman	DS	6.083333333	202			4.45	38.5	10.25	0.823219178	-0.901137075	
6467	2014	Ra'Shede Hageman	Minnesota	DT	6.5	310			5.02	35.5	9.5	1.092948718	-0.694337294	-3.920877522
6468	2023	Rashee Rice	SMU	WR	6.088888889	204	32.75	9.5	4.51	41	10.66666667	0.874817518	-1.987861221	
6469	2000	Rashidi Barnes	Colorado	DS	6.083333333	208			4.62	35	9.5	0.777863014	-3.83390516	
6470	2021	Rashod Bateman	Minnesota	WR	6	190	33	9.5	4.43	36	10.25	0.758680556	-1.8585936	-4.435895895
6471	2009	RaShon Harris	Oregon	DT	6.333333333	298			4.99	25.5	8.833333333	0.884850877	-0.605052218	
6472	2000	Rashon Spikes		RB	5.916666667	204			4.78	33	9.416666667	0.758056338	-7.155396479	
6473	2011	Ras-I Dowling	Virginia	DC	6.083333333	198	31	9.5	4.4		0	0	-0.361451204	
6474	2011	Ray Dominguez		OG	6.333333333	334	34	9.88	5.45	27.5	7.5	0.944868421	-5.097668263	
6475	2006	Ray Edwards	Purdue	EDGE	6.416666667	273			4.81	39	9.5	1.024636364	-0.605419877	
6476	2009	Ray Feinga		OG	6.333333333	337			5.32		0	0	-2.220060333	
6477	2013	Ray Graham		RB	5.75	199	30.25	9.63	4.8	32.5	9.333333333	0.751777778	-7.479565253	-5.079913877
6478	2005	Ray Hudson		RB	5.833333333	192			4.5		0	0	-2.303019595	
6479	2001	Ray Redziniak		OG	6.25	296			5.5	27	7.666666667	0.849848889	-10.61519748	
6480	2003	Ray Thomas		TE	6.416666667	248			5.01	31	9.416666667	0.823982684	-8.292030569	
6481	2021	Ray Thomas-Ishman	Buffalo	IOL	6.25	313	32.13	9.63	5.54	23	8.083333333	0.856228889	-9.051339954	-7.264908266
6482	2005	Ray Willis	Florida State	OT	6.5	327			5.4		0	0	-6.106729464	
6483	2020	Raymond Calais	Louisiana-Lafayette	RB	5.66	188	30	9.25	4.42	37.5	10	0.802709069	-0.211822313	
6484	2003	Raymond House		EDGE	6.25	277			5.08	32	10	0.989813333	-4.709797209	
6485	2021	Raymond Johnson III	Georgia Southern	EDGE	6.166666667	260	33.25	9.38	4.78	33	9.583333333	0.93518018	-0.297159967	0.636585865
6486	2001	Raymond Walls	Southern Miss	DC	5.916666667	176			4.51	39	10.33333333	0.745314554	-5.548054838	
6487	2018	Ray-Ray Mccloud	Clemson	WR	5.75	190			4.53	34.5		0.38	-2.865097544	
6488	2021	Rayshard Ashby	Virginia Tech	LB	5.833333333	232	31	8.38	4.93	31.5	9.5	0.8584	-5.546529779	-0.713522902
6489	2016	Reader, DJ	Clemson	DL	6.166666667	327	33.63	9.5	5.33	29.5	8.25	1.031817568	-2.555755364	-0.269730033
6490	2002	Reche Caldwell	Florida	WR	6.083333333	194			4.53	41.5	10.83333333	0.844210046	-3.945588324	
6491	2017	Rector, Michael	Stanford	WR	6	193	32.5	9.25	4.42	36.5	10.75	0.794784722	-1.166929248	-1.294989863
6492	2017	Redding, Devine	Indiana	RB	5.666666667	205	29.25	9.63	4.76	30.5	9.666666667	0.775784314	-5.11889529	-3.859106944
6493	2016	Redmond, Alex	UCLA	OL	6.333333333	294	33.25	10.5	5.3	28	9.25	0.934223684	-7.397982582	-3.330215299
6494	2006	Reed Doughty	Northern Colorado	DS	6.083333333	209			4.65	37	10.08333333	0.827888128	-4.355091987	
6495	2016	Reed, Jarran	Alabama	DL	6.166666667	307	33.38	10.5	5.21	31	8.666666667	1.017801802	-2.79345219	-1.002080891
6496	2015	Reese Dismukes	Auburn	OC	6.25	296			5.31	27.5	8.916666667	0.926808889	-6.793945206	-7.757080064
6497	2000	Reggie Austin	Wake Forest	DC	5.833333333	175			4.44	35	9.916666667	0.697083333	-3.665654915	
6498	2005	Reggie Brown	Georgia	WR	6.166666667	196			4.45	41.5	10.66666667	0.835207207	-2.209183369	
6499	2002	Reggie Coleman	Tennessee	OT	6.416666667	301			5.23	29	8.583333333	0.92319697	-5.565056553	
6500	2001	Reggie Germany	Ohio State	WR	6.083333333	183			4.39	32	0	0.320876712	-2.420219804	
6501	2005	Reggie Harrell		WR	6.25	214			4.58	35	9.583333333	0.782288889	-2.890642972	
6502	2001	Reggie Hayward	Iowa State	EDGE	6.416666667	255			4.91	41	10.58333333	1.033798701	-5.146204035	
6503	2014	Reggie Jordan	Missouri Western	TE	6.25	240			4.77	30	9.666666667	0.817066667	-3.32547742	-2.547786985
6504	1999	Reggie Kelly	Mississippi State	TE	6.333333333	254			4.86	32	0	0.427789474	-3.753508451	
6505	2007	Reggie Lewis		DC	5.833333333	204			4.54	34	9.916666667	0.800942857	-1.331013795	
6506	1999	Reggie McGrew	Florida	DT	6.166666667	307			5.05		0	0	0.363352484	
6507	2006	Reggie McNeal	Texas A and M	QB	6.166666667	198			4.4	32	10.08333333	0.720202703	-0.762776695	
6508	2007	Reggie Nelson	Florida	DS	6.083333333	198			4.48	34.5	0	0.37430137	-2.186204862	
6509	2004	Reggie Torbor	Auburn	EDGE	6.166666667	254			4.65	34	10	0.947351351	1.633327006	
6510	2001	Reggie Wayne	Miami (FL)	WR	6.083333333	198			4.45	36	0	0.390575342	-1.50192224	
6511	2003	Reggie Wells	Clarion	OT	6.25	300			5.16	29	8.666666667	0.949333333	-3.249559789	
6512	2001	Reggie White		RB	6.083333333	228			4.58	37.5	0	0.468493151	-0.001435685	
6513	2020	Reginald Robinson III	Tulsa	DC	6.08	205	31.5	8.38	4.49	36	11	0.837308114	-1.341383466	-4.69132099
6514	2004	Regis Crawford		OG	6.166666667	316			6.05		0	0	-18.01753735	
6515	2013	Reid Fragel	Ohio State	OT	6.666666667	308	33	10.63	5.14	30	9.416666667	0.969558333	-4.341330129	-1.768800517
6516	2001	Renaldo Hill	Michigan State	DC	5.916666667	178			4.68	35.5	9.666666667	0.695286385	-9.183678834	
6517	2004	Renaldo Works		RB	6.083333333	216			4.7	30.5	9.583333333	0.757972603	-4.406813496	
6518	2000	Renard Cox		DC	6.083333333	192			4.68	38	9.25	0.740383562	-7.779424	
6519	2024	Renardo Green	Florida State	DC	5.916666667	186	31.13	9	4.5	37.5	10.83333333	0.79028169	-3.68582837	
6520	2019	Renell Wren	Arizona State	EDGE	6.41	318	33.88	10	5.01	32	9.83	1.098117005	1.017805274	0.428899017
6521	2010	Rennie Curran	Georgia	OLB	5.916666667	235	31.5	10.38	4.75	34.5	0	0.456760563	-1.738836633	
6522	2012	Rennie Moore		DT	6.25	268			5.12	30	9.083333333	0.883208889	-6.792682031	
6523	2003	Reno Mahe		WR	5.75	198			4.68	32	9.083333333	0.732217391	-4.954835489	
6524	2010	Reshad Jones	Georgia	DS	6.083333333	214	32	9	4.51	39.5	9.833333333	0.866748858	-0.477437973	
6525	2000	Reuben Droughns	Oregon	RB	5.916666667	215			4.66	30	9.583333333	0.769659624	-2.76495692	
6526	2006	Reuben Houston		DC	6.083333333	192			4.62	41.5	10.58333333	0.82630137	-6.32918097	
6527	2013	Rex Burkhead	Nebraska	RB	5.833333333	214	30.88	9.75	4.73	39	10.41666667	0.922747619	-3.992090194	1.33083001
6528	2003	Rex Grossman	Florida	QB	5.916666667	217			5.06		0	0	-11.25673096	
6529	2004	Rex Hadnot	Houston	OC	6.166666667	323			5.5	24.5	7.583333333	0.89115991	-6.353734087	
6530	1999	Rex Tucker	Texas A and M	OT	6.416666667	303			5.23	30	8.833333333	0.958844156	-5.302050136	
6531	2009	Rey Maualuga	USC	ILB	6.166666667	249			4.78		8.916666667	0.420047297	-1.809967775	
6532	2017	Reynolds, Josh	Texas A and M	WR	6.25	194	31.5	9.38	4.52	37	10.33333333	0.757031111	-4.525878017	-3.189476426
6533	2021	Rhamondre Stevenson	Oklahoma	RB	5.916666667	231	30.25	9	4.63	31.5	9.333333333	0.835070423	0.258025052	0.811328388
6534	2009	Rhett Bomar	Sam Houston State	QB	6.166666667	225			4.7		8.833333333	0.376013514	-3.512520908	
6535	2012	Rhett Ellison	USC	TE	6.416666667	251	32.75	10.25	4.88	31	9.083333333	0.818738095	-5.060554649	
6536	2022	Rhyan, Sean	UCLA	OT	6.333333333	321	32.38	11.13	5.25	33.5	9.166666667	1.108013158	-2.857213565	2.511525999
